step,loss,score,acc,lora_norm,checkpoint
-1,0,65.8011474609375,1.0,0,baseline
0,71.23625183105469,65.79934692382812,1.0,5.122422440676019,lora_step_0000.pt
50,61.65116882324219,65.18079376220703,1.0,6.0348153077065945,
100,59.82496643066406,62.69921875,1.0,8.307902187108994,lora_step_0100.pt
150,51.70317077636719,57.8575439453125,1.0,11.339292034506798,
200,47.303096771240234,50.97532272338867,1.0,14.61081576347351,lora_step_0200.pt
250,37.19471740722656,43.0243034362793,1.0,17.8280029296875,
300,28.933393478393555,36.202049255371094,1.0,20.64704728126526,lora_step_0300.pt
350,26.773252487182617,30.41002655029297,1.0,23.092688739299774,
400,16.150951385498047,25.63892936706543,1.0,25.216138899326324,lora_step_0400.pt
450,15.66053295135498,20.967851638793945,0.9375,27.133140087127686,
500,11.396458625793457,16.905908584594727,0.875,28.86433655023575,lora_step_0500.pt
550,6.811752796173096,13.084122657775879,0.8125,30.37028670310974,
600,4.456349849700928,9.485468864440918,0.75,31.821628987789154,lora_step_0600.pt
650,12.565399169921875,6.280084133148193,0.75,33.17039692401886,
700,1.0452519655227661,3.2995445728302,0.625,34.49001234769821,lora_step_0700.pt
750,-4.953218460083008,0.4651503562927246,0.5625,35.74603736400604,
800,-1.26936674118042,-2.3364171981811523,0.4375,36.99800843000412,lora_step_0800.pt
850,-6.115424156188965,-5.151232719421387,0.25,38.205732583999634,
900,-9.108613014221191,-8.008138656616211,0.1875,39.49687719345093,lora_step_0900.pt
950,-14.187759399414062,-11.090563774108887,0.125,40.835521936416626,
1000,-14.169897079467773,-14.417952537536621,0.125,42.28035354614258,lora_step_1000.pt
