step,loss,score,acc,lora_norm,checkpoint
<<<<<<< HEAD
-1,0,61.22117233276367,1.0,0,baseline
0,57.42873001098633,61.220184326171875,1.0,3.6395764091284946,lora_step_0000.pt
250,49.72816467285156,47.325477600097656,1.0,12.64166834950447,
500,23.897502899169922,22.535066604614258,1.0,23.125344932079315,lora_step_0500.pt
750,9.84349250793457,8.789663314819336,0.8125,30.071848452091217,
=======
-1,0,58.397865295410156,1.0,0,baseline
0,63.79523468017578,58.39649200439453,1.0,3.63675168750342,lora_step_0000.pt
50,64.75076293945312,58.00273132324219,1.0,4.290571700781584,
100,63.40016174316406,56.42289733886719,1.0,5.882572375237942,lora_step_0100.pt
150,55.505218505859375,53.42387390136719,1.0,8.076195508241653,
200,53.28778076171875,49.270233154296875,1.0,10.45745299756527,lora_step_0200.pt
250,48.90373229980469,43.94754409790039,1.0,12.891744405031204,
300,41.770729064941406,38.31385040283203,1.0,15.297365128993988,lora_step_0300.pt
350,39.28910446166992,33.153221130371094,1.0,17.527486115694046,
400,28.869709014892578,28.418296813964844,1.0,19.63276070356369,lora_step_0400.pt
450,25.999771118164062,24.29635238647461,1.0,21.491715908050537,
500,23.263399124145508,21.0588321685791,1.0,23.16548591852188,lora_step_0500.pt
550,15.876852035522461,18.388980865478516,0.9375,24.722390830516815,
600,17.216636657714844,15.856232643127441,0.9375,26.241736114025116,lora_step_0600.pt
650,9.486909866333008,13.66337776184082,0.9375,27.551440000534058,
700,17.26077651977539,11.592635154724121,0.875,28.84881752729416,lora_step_0700.pt
750,7.274847984313965,9.852825164794922,0.875,30.08948963880539,
800,18.423768997192383,8.506539344787598,0.8125,31.23806756734848,lora_step_0800.pt
850,12.43464469909668,7.282235145568848,0.75,32.36898469924927,
900,4.388120651245117,5.892652988433838,0.6875,33.448349714279175,lora_step_0900.pt
950,6.498025417327881,4.378520965576172,0.5625,34.45140069723129,
1000,-4.372900009155273,2.7647488117218018,0.5,35.463859498500824,lora_step_1000.pt
>>>>>>> c2bb9b8 (Completed lora sweeps on ALICE)
