step,loss,score,acc,lora_norm,checkpoint
-1,0,63.75214767456055,1.0,0,baseline
0,55.95640563964844,63.72956848144531,1.0,7.35008286871016,lora_step_0000.pt
50,38.947750091552734,34.25758743286133,1.0,19.81133744120598,
100,5.979128837585449,3.3590352535247803,0.5,35.05444514751434,lora_step_0100.pt
150,-6.594371318817139,-11.639114379882812,0.0625,44.10603940486908,
200,-38.910160064697266,-39.68333053588867,0.0,55.084489583969116,lora_step_0200.pt
250,-152.83987426757812,-167.89923095703125,0.0,72.82722747325897,
300,-327.9078674316406,-336.9510498046875,0.0,84.85664665699005,lora_step_0300.pt
350,-392.4832763671875,-397.9399719238281,0.0,91.56525075435638,
400,-458.0800476074219,-451.0356140136719,0.0,97.27823185920715,lora_step_0400.pt
450,-495.8641662597656,-487.2207946777344,0.0,102.52479863166809,
500,-527.734619140625,-523.40087890625,0.0,107.69226026535034,lora_step_0500.pt
550,-561.943359375,-554.29443359375,0.0,112.66550469398499,
600,-587.91650390625,-590.5101318359375,0.0,117.7879548072815,lora_step_0600.pt
650,-631.4298095703125,-630.05810546875,0.0,123.42780447006226,
700,-681.5704956054688,-677.8550415039062,0.0,129.42200136184692,lora_step_0700.pt
750,-774.7532348632812,-767.318115234375,0.0,136.46263217926025,
800,-891.703857421875,-890.8450317382812,0.0,143.50248837471008,lora_step_0800.pt
850,-996.626953125,-988.9288330078125,0.0,149.08520817756653,
900,-1067.1241455078125,-1074.2130126953125,0.0,154.53421998023987,lora_step_0900.pt
950,-1134.9688720703125,-1146.0552978515625,0.0,159.59818863868713,
1000,-1206.1390380859375,-1210.6966552734375,0.0,164.55711770057678,lora_step_1000.pt
