step,loss,score,acc,lora_norm,checkpoint
-1,0,52.438011169433594,1.0,0,baseline
0,63.8861083984375,52.43324661254883,1.0,7.260687170084566,lora_step_0000.pt
50,59.598384857177734,51.021942138671875,1.0,8.746122382581234,
100,59.5440559387207,45.78470993041992,1.0,12.336821302771568,lora_step_0100.pt
150,43.44721984863281,36.969661712646484,1.0,17.02194508910179,
200,36.482757568359375,27.375335693359375,1.0,21.659295171499252,lora_step_0200.pt
250,23.17317008972168,18.874197006225586,0.9375,25.679635167121887,
300,20.705629348754883,12.601312637329102,0.9375,28.987477779388428,lora_step_0300.pt
350,12.141398429870605,7.114891052246094,0.875,31.888798415660858,
400,9.400581359863281,2.842378616333008,0.5625,34.543313562870026,lora_step_0400.pt
450,4.987713813781738,-1.3245412111282349,0.3125,36.97892212867737,
500,-3.0601720809936523,-4.765920639038086,0.125,39.28762251138687,lora_step_0500.pt
550,-6.061882972717285,-8.669407844543457,0.0625,41.63094484806061,
600,-13.145973205566406,-13.261978149414062,0.0,43.96537733078003,lora_step_0600.pt
650,-15.291250228881836,-18.680892944335938,0.0,46.51156556606293,
700,-20.90991973876953,-25.427921295166016,0.0,49.460142612457275,lora_step_0700.pt
750,-38.07221603393555,-35.06512451171875,0.0,52.85144078731537,
800,-44.05738830566406,-50.751312255859375,0.0,56.793495535850525,lora_step_0800.pt
850,-76.31278991699219,-73.51659393310547,0.0,61.31078839302063,
900,-112.93815612792969,-115.90264892578125,0.0,65.8803288936615,lora_step_0900.pt
950,-174.38861083984375,-177.0407257080078,0.0,70.38475453853607,
1000,-219.61245727539062,-243.06622314453125,0.0,74.36056971549988,lora_step_1000.pt
